Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Cường giáp,Mệt mỏi,Thay đổi tâm trạng,Sút cân,Bồn chồn,Tiêu chảy,Nhịp tim nhanh,Đói quá mức,Yếu cơ,Dễ cáu gắt,Kinh nguyệt bất thường,,,,,,,
Cường giáp,Mệt mỏi,Thay đổi tâm trạng,Sút cân,Bồn chồn,Đổ mồ hôi,Nhịp tim nhanh,Đói quá mức,Yếu cơ,Dễ cáu gắt,Kinh nguyệt bất thường,,,,,,,
Cường giáp,Mệt mỏi,Thay đổi tâm trạng,Sút cân,Bồn chồn,Đổ mồ hôi,Tiêu chảy,Đói quá mức,Yếu cơ,Dễ cáu gắt,Kinh nguyệt bất thường,,,,,,,
Cường giáp,Mệt mỏi,Thay đổi tâm trạng,Sút cân,Bồn chồn,Đổ mồ hôi,Tiêu chảy,Nhịp tim nhanh,Yếu cơ,Dễ cáu gắt,Kinh nguyệt bất thường,,,,,,,
Hạ đường huyết,Nôn,Mệt mỏi,Lo âu,Đổ mồ hôi,Đau đầu,Buồn nôn,Mờ mắt và nhìn biến dạng,Đói quá mức,Nói ngọng,Dễ cáu gắt,Đánh trống ngực,,,,,,
Hạ đường huyết,Nôn,Mệt mỏi,Lo âu,Đổ mồ hôi,Đau đầu,Buồn nôn,Mờ mắt và nhìn biến dạng,Đói quá mức,Khô và ngứa ran môi,Nói ngọng,Dễ cáu gắt,Đánh trống ngực,,,,,
Hạ đường huyết,Nôn,Mệt mỏi,Lo âu,Đổ mồ hôi,Đau đầu,Buồn nôn,Mờ mắt và nhìn biến dạng,Đói quá mức,Khô và ngứa ran môi,Nói ngọng,Dễ cáu gắt,Đánh trống ngực,,,,,
Hạ đường huyết,Mệt mỏi,Lo âu,Đổ mồ hôi,Đau đầu,Buồn nôn,Mờ mắt và nhìn biến dạng,Đói quá mức,Khô và ngứa ran môi,Nói ngọng,Dễ cáu gắt,Đánh trống ngực,,,,,,
Hạ đường huyết,Nôn,Lo âu,Đổ mồ hôi,Đau đầu,Buồn nôn,Mờ mắt và nhìn biến dạng,Đói quá mức,Khô và ngứa ran môi,Nói ngọng,Dễ cáu gắt,Đánh trống ngực,,,,,,
Hạ đường huyết,Nôn,Mệt mỏi,Đổ mồ hôi,Đau đầu,Buồn nôn,Mờ mắt và nhìn biến dạng,Đói quá mức,Khô và ngứa ran môi,Nói ngọng,Dễ cáu gắt,Đánh trống ngực,,,,,,
Hạ đường huyết,Nôn,Mệt mỏi,Lo âu,Đau đầu,Buồn nôn,Mờ mắt và nhìn biến dạng,Đói quá mức,Khô và ngứa ran môi,Nói ngọng,Dễ cáu gắt,Đánh trống ngực,,,,,,
Hạ đường huyết,Nôn,Mệt mỏi,Lo âu,Đổ mồ hôi,Buồn nôn,Mờ mắt và nhìn biến dạng,Đói quá mức,Khô và ngứa ran môi,Nói ngọng,Dễ cáu gắt,Đánh trống ngực,,,,,,
Hạ đường huyết,Nôn,Mệt mỏi,Lo âu,Đổ mồ hôi,Đau đầu,Mờ mắt và nhìn biến dạng,Đói quá mức,Khô và ngứa ran môi,Nói ngọng,Dễ cáu gắt,Đánh trống ngực,,,,,,
Hạ đường huyết,Nôn,Mệt mỏi,Lo âu,Đổ mồ hôi,Đau đầu,Buồn nôn,Đói quá mức,Khô và ngứa ran môi,Nói ngọng,Dễ cáu gắt,Đánh trống ngực,,,,,,
Viêm xương khớp,Đau khớp,Đau cổ,Đau đầu gối,Đau khớp háng,Sưng khớp,Đau khi đi lại,,,,,,,,,,,
Viêm xương khớp,Đau khớp,Đau cổ,Đau đầu gối,Đau khớp háng,Sưng khớp,Đau khi đi lại,,,,,,,,,,,
Viêm xương khớp,Đau cổ,Đau đầu gối,Đau khớp háng,Sưng khớp,Đau khi đi lại,,,,,,,,,,,,
Viêm xương khớp,Đau khớp,Đau đầu gối,Đau khớp háng,Sưng khớp,Đau khi đi lại,,,,,,,,,,,,
Viêm xương khớp,Đau khớp,Đau cổ,Đau khớp háng,Sưng khớp,Đau khi đi lại,,,,,,,,,,,,
Viêm xương khớp,Đau khớp,Đau cổ,Đau đầu gối,Sưng khớp,Đau khi đi lại,,,,,,,,,,,,
Viêm xương khớp,Đau khớp,Đau cổ,Đau đầu gối,Đau khớp háng,Đau khi đi lại,,,,,,,,,,,,
Viêm xương khớp,Đau khớp,Đau cổ,Đau đầu gối,Đau khớp háng,Sưng khớp,,,,,,,,,,,,
Viêm xương khớp,Đau khớp,Đau cổ,Đau đầu gối,Đau khớp háng,Sưng khớp,Đau khi đi lại,,,,,,,,,,,
Viêm xương khớp,Đau khớp,Đau cổ,Đau đầu gối,Đau khớp háng,Sưng khớp,Đau khi đi lại,,,,,,,,,,,
Viêm khớp,Yếu cơ,Cứng cổ,Sưng khớp,Cứng khớp,Đau khi đi lại,,,,,,,,,,,,
Viêm khớp,Yếu cơ,Cứng cổ,Sưng khớp,Cứng khớp,Đau khi đi lại,,,,,,,,,,,,
Viêm khớp,Cứng cổ,Sưng khớp,Cứng khớp,Đau khi đi lại,,,,,,,,,,,,,
Viêm khớp,Yếu cơ,Sưng khớp,Cứng khớp,Đau khi đi lại,,,,,,,,,,,,,
Viêm khớp,Yếu cơ,Cứng cổ,Cứng khớp,Đau khi đi lại,,,,,,,,,,,,,
Viêm khớp,Yếu cơ,Cứng cổ,Sưng khớp,Đau khi đi lại,,,,,,,,,,,,,
Viêm khớp,Yếu cơ,Cứng cổ,Sưng khớp,Cứng khớp,Đau khi đi lại,,,,,,,,,,,,
Viêm khớp,Yếu cơ,Cứng cổ,Sưng khớp,Cứng khớp,,,,,,,,,,,,,
Viêm khớp,Yếu cơ,Cứng cổ,Sưng khớp,Cứng khớp,Đau khi đi lại,,,,,,,,,,,,
Viêm khớp,Yếu cơ,Cứng cổ,Sưng khớp,Cứng khớp,Đau khi đi lại,,,,,,,,,,,,
Chóng mặt tư thế kịch phát lành tính,Nôn,Đau đầu,Buồn nôn,Chóng mặt xoay tròn,Mất thăng bằng,Đi đứng không vững,,,,,,,,,,,
Chóng mặt tư thế kịch phát lành tính,Nôn,Đau đầu,Buồn nôn,Chóng mặt xoay tròn,Mất thăng bằng,Đi đứng không vững,,,,,,,,,,,
Chóng mặt tư thế kịch phát lành tính,Đau đầu,Buồn nôn,Chóng mặt xoay tròn,Mất thăng bằng,Đi đứng không vững,,,,,,,,,,,,
Chóng mặt tư thế kịch phát lành tính,Nôn,Buồn nôn,Chóng mặt xoay tròn,Mất thăng bằng,Đi đứng không vững,,,,,,,,,,,,
Chóng mặt tư thế kịch phát lành tính,Nôn,Đau đầu,Chóng mặt xoay tròn,Mất thăng bằng,Đi đứng không vững,,,,,,,,,,,,
Chóng mặt tư thế kịch phát lành tính,Nôn,Đau đầu,Buồn nôn,Mất thăng bằng,Đi đứng không vững,,,,,,,,,,,,
Chóng mặt tư thế kịch phát lành tính,Nôn,Đau đầu,Buồn nôn,Chóng mặt xoay tròn,Đi đứng không vững,,,,,,,,,,,,
Chóng mặt tư thế kịch phát lành tính,Nôn,Đau đầu,Buồn nôn,Chóng mặt xoay tròn,Mất thăng bằng,,,,,,,,,,,,
Chóng mặt tư thế kịch phát lành tính,Nôn,Đau đầu,Buồn nôn,Chóng mặt xoay tròn,Mất thăng bằng,Đi đứng không vững,,,,,,,,,,,
Chóng mặt tư thế kịch phát lành tính,Nôn,Đau đầu,Buồn nôn,Mất thăng bằng,Đi đứng không vững,,,,,,,,,,,,
Mụn trứng cá,Phát ban da,Mụn mủ,Mụn đầu đen,Sẹo,,,,,,,,,,,,,
Mụn trứng cá,Phát ban da,Mụn mủ,Mụn đầu đen,Sẹo,,,,,,,,,,,,,
Mụn trứng cá,Mụn mủ,Mụn đầu đen,Sẹo,,,,,,,,,,,,,,
Mụn trứng cá,Phát ban da,Mụn đầu đen,Sẹo,,,,,,,,,,,,,,
Mụn trứng cá,Phát ban da,Mụn mủ,Sẹo,,,,,,,,,,,,,,
Mụn trứng cá,Phát ban da,Mụn mủ,Mụn đầu đen,,,,,,,,,,,,,,
Mụn trứng cá,Phát ban da,Mụn mủ,Mụn đầu đen,Sẹo,,,,,,,,,,,,,
Mụn trứng cá,Phát ban da,Mụn mủ,Mụn đầu đen,,,,,,,,,,,,,,
Mụn trứng cá,Phát ban da,Mụn mủ,Sẹo,,,,,,,,,,,,,,
Mụn trứng cá,Phát ban da,Mụn đầu đen,Sẹo,,,,,,,,,,,,,,
Nhiễm trùng đường tiết niệu,Tiểu buốt,Khó chịu bàng quang,Nước tiểu có mùi hôi,Cảm giác buồn tiểu liên tục,,,,,,,,,,,,,
Nhiễm trùng đường tiết niệu,Tiểu buốt,Khó chịu bàng quang,Nước tiểu có mùi hôi,Cảm giác buồn tiểu liên tục,,,,,,,,,,,,,
Nhiễm trùng đường tiết niệu,Khó chịu bàng quang,Nước tiểu có mùi hôi,Cảm giác buồn tiểu liên tục,,,,,,,,,,,,,,
Nhiễm trùng đường tiết niệu,Tiểu buốt,Nước tiểu có mùi hôi,Cảm giác buồn tiểu liên tục,,,,,,,,,,,,,,
Nhiễm trùng đường tiết niệu,Tiểu buốt,Khó chịu bàng quang,Cảm giác buồn tiểu liên tục,,,,,,,,,,,,,,
Nhiễm trùng đường tiết niệu,Tiểu buốt,Khó chịu bàng quang,Nước tiểu có mùi hôi,,,,,,,,,,,,,,
Nhiễm trùng đường tiết niệu,Tiểu buốt,Khó chịu bàng quang,Nước tiểu có mùi hôi,Cảm giác buồn tiểu liên tục,,,,,,,,,,,,,
Nhiễm trùng đường tiết niệu,Tiểu buốt,Khó chịu bàng quang,Cảm giác buồn tiểu liên tục,,,,,,,,,,,,,,
Nhiễm trùng đường tiết niệu,Khó chịu bàng quang,Nước tiểu có mùi hôi,Cảm giác buồn tiểu liên tục,,,,,,,,,,,,,,
Nhiễm trùng đường tiết niệu,Tiểu buốt,Khó chịu bàng quang,Cảm giác buồn tiểu liên tục,,,,,,,,,,,,,,
Vảy nến,Phát ban da,Đau khớp,Tróc da,Vảy bạc,Rỗ móng tay,Viêm quanh móng,,,,,,,,,,,
Vảy nến,Phát ban da,Đau khớp,Tróc da,Vảy bạc,Rỗ móng tay,Viêm quanh móng,,,,,,,,,,,
Vảy nến,Đau khớp,Tróc da,Vảy bạc,Rỗ móng tay,Viêm quanh móng,,,,,,,,,,,,
Vảy nến,Phát ban da,Tróc da,Vảy bạc,Rỗ móng tay,Viêm quanh móng,,,,,,,,,,,,
Vảy nến,Phát ban da,Đau khớp,Vảy bạc,Rỗ móng tay,Viêm quanh móng,,,,,,,,,,,,
Vảy nến,Phát ban da,Đau khớp,Tróc da,Rỗ móng tay,Viêm quanh móng,,,,,,,,,,,,
Vảy nến,Phát ban da,Đau khớp,Tróc da,Vảy bạc,Viêm quanh móng,,,,,,,,,,,,
Vảy nến,Phát ban da,Đau khớp,Tróc da,Vảy bạc,Rỗ móng tay,,,,,,,,,,,,
Vảy nến,Phát ban da,Đau khớp,Tróc da,Vảy bạc,Rỗ móng tay,Viêm quanh móng,,,,,,,,,,,
Vảy nến,Phát ban da,Đau khớp,Tróc da,Vảy bạc,Rỗ móng tay,Viêm quanh móng,,,,,,,,,,,
Chốc lở,Phát ban da,Sốt cao,Phồng rộp,Vết đỏ quanh mũi,Chảy mủ vảy vàng,,,,,,,,,,,,
Chốc lở,Phát ban da,Sốt cao,Phồng rộp,Vết đỏ quanh mũi,Chảy mủ vảy vàng,,,,,,,,,,,,
Chốc lở,Sốt cao,Phồng rộp,Vết đỏ quanh mũi,Chảy mủ vảy vàng,,,,,,,,,,,,,
Chốc lở,Phát ban da,Phồng rộp,Vết đỏ quanh mũi,Chảy mủ vảy vàng,,,,,,,,,,,,,
Chốc lở,Phát ban da,Phồng rộp,Vết đỏ quanh mũi,Chảy mủ vảy vàng,,,,,,,,,,,,,
Chốc lở,Phát ban da,Sốt cao,Vết đỏ quanh mũi,Chảy mủ vảy vàng,,,,,,,,,,,,,
Chốc lở,Phát ban da,Sốt cao,Phồng rộp,Chảy mủ vảy vàng,,,,,,,,,,,,,
Chốc lở,Phát ban da,Sốt cao,Phồng rộp,Vết đỏ quanh mũi,,,,,,,,,,,,,
Chốc lở,Phát ban da,Sốt cao,Phồng rộp,Vết đỏ quanh mũi,Chảy mủ vảy vàng,,,,,,,,,,,,
Chốc lở,Phát ban da,Phồng rộp,Vết đỏ quanh mũi,Chảy mủ vảy vàng,,,,,,,,,,,,,
Nhiễm nấm,Ngứa,Phát ban da,Nổi mụn cục trên da,Vùng da mất sắc tố,,,,,,,,,,,,,
Nhiễm nấm,Phát ban da,Nổi mụn cục trên da,Vùng da mất sắc tố,,,,,,,,,,,,,,
Nhiễm nấm,Ngứa,Nổi mụn cục trên da,Vùng da mất sắc tố,,,,,,,,,,,,,,
Nhiễm nấm,Ngứa,Phát ban da,Vùng da mất sắc tố,,,,,,,,,,,,,,
Nhiễm nấm,Ngứa,Phát ban da,Nổi mụn cục trên da,,,,,,,,,,,,,,
Nhiễm nấm,Phát ban da,Nổi mụn cục trên da,Vùng da mất sắc tố,,,,,,,,,,,,,,
Nhiễm nấm,Ngứa,Nổi mụn cục trên da,Vùng da mất sắc tố,,,,,,,,,,,,,,
Nhiễm nấm,Ngứa,Phát ban da,Vùng da mất sắc tố,,,,,,,,,,,,,,
Nhiễm nấm,Ngứa,Phát ban da,Nổi mụn cục trên da,,,,,,,,,,,,,,
Nhiễm nấm,Ngứa,Phát ban da,Nổi mụn cục trên da,Vùng da mất sắc tố,,,,,,,,,,,,,
Dị ứng,Hắt hơi liên tục,Run,Ớn lạnh,Chảy nước mắt,,,,,,,,,,,,,
Dị ứng,Run,Ớn lạnh,Chảy nước mắt,,,,,,,,,,,,,,
Dị ứng,Hắt hơi liên tục,Ớn lạnh,Chảy nước mắt,,,,,,,,,,,,,,
Dị ứng,Hắt hơi liên tục,Run,Chảy nước mắt,,,,,,,,,,,,,,
Dị ứng,Hắt hơi liên tục,Run,Ớn lạnh,,,,,,,,,,,,,,
Dị ứng,Run,Ớn lạnh,Chảy nước mắt,,,,,,,,,,,,,,
Dị ứng,Hắt hơi liên tục,Ớn lạnh,Chảy nước mắt,,,,,,,,,,,,,,
Dị ứng,Hắt hơi liên tục,Run,Chảy nước mắt,,,,,,,,,,,,,,
Dị ứng,Hắt hơi liên tục,Run,Ớn lạnh,,,,,,,,,,,,,,
Dị ứng,Hắt hơi liên tục,Run,Ớn lạnh,Chảy nước mắt,,,,,,,,,,,,,
Trào ngược dạ dày thực quản,Đau dạ dày,Trào ngược axit,Loét lưỡi,Nôn,Ho,Đau ngực,,,,,,,,,,,
Trào ngược dạ dày thực quản,Đau dạ dày,Loét lưỡi,Nôn,Ho,Đau ngực,,,,,,,,,,,,
Trào ngược dạ dày thực quản,Đau dạ dày,Trào ngược axit,Nôn,Ho,Đau ngực,,,,,,,,,,,,
Trào ngược dạ dày thực quản,Đau dạ dày,Trào ngược axit,Loét lưỡi,Ho,Đau ngực,,,,,,,,,,,,
Trào ngược dạ dày thực quản,Đau dạ dày,Trào ngược axit,Loét lưỡi,Nôn,Đau ngực,,,,,,,,,,,,
Trào ngược dạ dày thực quản,Đau dạ dày,Trào ngược axit,Loét lưỡi,Nôn,Ho,,,,,,,,,,,,
Trào ngược dạ dày thực quản,Trào ngược axit,Loét lưỡi,Nôn,Ho,Đau ngực,,,,,,,,,,,,
Trào ngược dạ dày thực quản,Đau dạ dày,Loét lưỡi,Nôn,Ho,Đau ngực,,,,,,,,,,,,
Trào ngược dạ dày thực quản,Đau dạ dày,Trào ngược axit,Nôn,Ho,Đau ngực,,,,,,,,,,,,
Trào ngược dạ dày thực quản,Đau dạ dày,Trào ngược axit,Loét lưỡi,Ho,Đau ngực,,,,,,,,,,,,
Ứ mật mãn tính,Ngứa,Nôn,Vàng da,Buồn nôn,Chán ăn,Đau bụng,Vàng mắt,,,,,,,,,,
Ứ mật mãn tính,Nôn,Vàng da,Buồn nôn,Chán ăn,Đau bụng,Vàng mắt,,,,,,,,,,,
Ứ mật mãn tính,Ngứa,Vàng da,Buồn nôn,Chán ăn,Đau bụng,Vàng mắt,,,,,,,,,,,
Ứ mật mãn tính,Ngứa,Nôn,Buồn nôn,Chán ăn,Đau bụng,Vàng mắt,,,,,,,,,,,
Ứ mật mãn tính,Ngứa,Nôn,Vàng da,Chán ăn,Đau bụng,Vàng mắt,,,,,,,,,,,
Ứ mật mãn tính,Ngứa,Nôn,Vàng da,Buồn nôn,Đau bụng,Vàng mắt,,,,,,,,,,,
Ứ mật mãn tính,Ngứa,Nôn,Vàng da,Buồn nôn,Chán ăn,Vàng mắt,,,,,,,,,,,
Ứ mật mãn tính,Ngứa,Nôn,Vàng da,Buồn nôn,Chán ăn,Đau bụng,,,,,,,,,,,
Ứ mật mãn tính,Ngứa,Nôn,Vàng da,Buồn nôn,Chán ăn,Đau bụng,Vàng mắt,,,,,,,,,,
Ứ mật mãn tính,Ngứa,Nôn,Vàng da,Buồn nôn,Chán ăn,Đau bụng,Vàng mắt,,,,,,,,,,
Phản ứng thuốc,Ngứa,Phát ban da,Đau dạ dày,Tiểu buốt,Tiểu ra máu,,,,,,,,,,,,
Phản ứng thuốc,Ngứa,Đau dạ dày,Tiểu buốt,Tiểu ra máu,,,,,,,,,,,,,
Phản ứng thuốc,Ngứa,Phát ban da,Tiểu buốt,Tiểu ra máu,,,,,,,,,,,,,
Phản ứng thuốc,Ngứa,Phát ban da,Đau dạ dày,Tiểu ra máu,,,,,,,,,,,,,
Phản ứng thuốc,Ngứa,Phát ban da,Đau dạ dày,Tiểu buốt,,,,,,,,,,,,,
Phản ứng thuốc,Phát ban da,Đau dạ dày,Tiểu buốt,Tiểu ra máu,,,,,,,,,,,,,
Phản ứng thuốc,Ngứa,Đau dạ dày,Tiểu buốt,Tiểu ra máu,,,,,,,,,,,,,
Phản ứng thuốc,Ngứa,Phát ban da,Tiểu buốt,Tiểu ra máu,,,,,,,,,,,,,
Phản ứng thuốc,Ngứa,Phát ban da,Đau dạ dày,Tiểu ra máu,,,,,,,,,,,,,
Phản ứng thuốc,Ngứa,Phát ban da,Đau dạ dày,Tiểu buốt,,,,,,,,,,,,,
Loét dạ dày tá tràng,Nôn,Chán ăn,Đau bụng,Xì hơi,Ngứa trong người,,,,,,,,,,,,
Loét dạ dày tá tràng,Nôn,Khó tiêu,Đau bụng,Xì hơi,Ngứa trong người,,,,,,,,,,,,
Loét dạ dày tá tràng,Khó tiêu,Chán ăn,Đau bụng,Xì hơi,Ngứa trong người,,,,,,,,,,,,
Loét dạ dày tá tràng,Nôn,Chán ăn,Đau bụng,Xì hơi,Ngứa trong người,,,,,,,,,,,,
Loét dạ dày tá tràng,Nôn,Khó tiêu,Đau bụng,Xì hơi,Ngứa trong người,,,,,,,,,,,,
Loét dạ dày tá tràng,Nôn,Khó tiêu,Chán ăn,Xì hơi,Ngứa trong người,,,,,,,,,,,,
Loét dạ dày tá tràng,Nôn,Khó tiêu,Chán ăn,Đau bụng,Ngứa trong người,,,,,,,,,,,,
Loét dạ dày tá tràng,Nôn,Khó tiêu,Chán ăn,Đau bụng,Xì hơi,,,,,,,,,,,,
Loét dạ dày tá tràng,Nôn,Khó tiêu,Chán ăn,Đau bụng,Xì hơi,Ngứa trong người,,,,,,,,,,,
Loét dạ dày tá tràng,Nôn,Khó tiêu,Chán ăn,Đau bụng,Xì hơi,Ngứa trong người,,,,,,,,,,,
AIDS,Teo cơ,Có mảng trắng trong cổ họng,Sốt cao,Quan hệ ngoài hôn nhân,,,,,,,,,,,,,
AIDS,Có mảng trắng trong cổ họng,Sốt cao,Quan hệ ngoài hôn nhân,,,,,,,,,,,,,,
AIDS,Teo cơ,Sốt cao,Quan hệ ngoài hôn nhân,,,,,,,,,,,,,,
AIDS,Teo cơ,Có mảng trắng trong cổ họng,Quan hệ ngoài hôn nhân,,,,,,,,,,,,,,
AIDS,Teo cơ,Có mảng trắng trong cổ họng,Sốt cao,,,,,,,,,,,,,,
AIDS,Teo cơ,Có mảng trắng trong cổ họng,Sốt cao,Quan hệ ngoài hôn nhân,,,,,,,,,,,,,
AIDS,Teo cơ,Có mảng trắng trong cổ họng,Sốt cao,Quan hệ ngoài hôn nhân,,,,,,,,,,,,,
AIDS,Có mảng trắng trong cổ họng,Sốt cao,Quan hệ ngoài hôn nhân,,,,,,,,,,,,,,
AIDS,Teo cơ,Sốt cao,Quan hệ ngoài hôn nhân,,,,,,,,,,,,,,
AIDS,Teo cơ,Có mảng trắng trong cổ họng,Sốt cao,,,,,,,,,,,,,,
Tiểu đường,Mệt mỏi,Sút cân,Bồn chồn,Uể oải,Đường huyết không ổn định,Mờ mắt và nhìn biến dạng,Béo phì,Đói quá mức,Tăng cảm giác thèm ăn,Tiểu nhiều,,,,,,,
Tiểu đường,Mệt mỏi,Sút cân,Bồn chồn,Uể oải,Đường huyết không ổn định,Mờ mắt và nhìn biến dạng,Béo phì,Đói quá mức,Tăng cảm giác thèm ăn,Tiểu nhiều,,,,,,,
Tiểu đường,Sút cân,Bồn chồn,Uể oải,Đường huyết không ổn định,Mờ mắt và nhìn biến dạng,Béo phì,Đói quá mức,Tăng cảm giác thèm ăn,Tiểu nhiều,,,,,,,,
Tiểu đường,Mệt mỏi,Bồn chồn,Uể oải,Đường huyết không ổn định,Mờ mắt và nhìn biến dạng,Béo phì,Đói quá mức,Tăng cảm giác thèm ăn,Tiểu nhiều,,,,,,,,
Tiểu đường,Mệt mỏi,Sút cân,Uể oải,Đường huyết không ổn định,Mờ mắt và nhìn biến dạng,Béo phì,Đói quá mức,Tăng cảm giác thèm ăn,Tiểu nhiều,,,,,,,,
Tiểu đường,Mệt mỏi,Sút cân,Bồn chồn,Đường huyết không ổn định,Mờ mắt và nhìn biến dạng,Béo phì,Đói quá mức,Tăng cảm giác thèm ăn,Tiểu nhiều,,,,,,,,
Tiểu đường,Mệt mỏi,Sút cân,Bồn chồn,Uể oải,Mờ mắt và nhìn biến dạng,Béo phì,Đói quá mức,Tăng cảm giác thèm ăn,Tiểu nhiều,,,,,,,,
Tiểu đường,Mệt mỏi,Sút cân,Bồn chồn,Uể oải,Đường huyết không ổn định,Béo phì,Đói quá mức,Tăng cảm giác thèm ăn,Tiểu nhiều,,,,,,,,
Tiểu đường,Mệt mỏi,Sút cân,Bồn chồn,Uể oải,Đường huyết không ổn định,Mờ mắt và nhìn biến dạng,Đói quá mức,Tăng cảm giác thèm ăn,Tiểu nhiều,,,,,,,,
Tiểu đường,Mệt mỏi,Sút cân,Bồn chồn,Uể oải,Đường huyết không ổn định,Mờ mắt và nhìn biến dạng,Béo phì,Tăng cảm giác thèm ăn,Tiểu nhiều,,,,,,,,
Viêm dạ dày ruột,Nôn,Mắt trũng,Mất nước,Tiêu chảy,,,,,,,,,,,,,
Viêm dạ dày ruột,Nôn,Mắt trũng,Mất nước,Tiêu chảy,,,,,,,,,,,,,
Viêm dạ dày ruột,Mắt trũng,Mất nước,Tiêu chảy,,,,,,,,,,,,,,
Viêm dạ dày ruột,Nôn,Mất nước,Tiêu chảy,,,,,,,,,,,,,,
Viêm dạ dày ruột,Nôn,Mắt trũng,Tiêu chảy,,,,,,,,,,,,,,
Viêm dạ dày ruột,Nôn,Mắt trũng,Mất nước,,,,,,,,,,,,,,
Viêm dạ dày ruột,Nôn,Mắt trũng,Mất nước,Tiêu chảy,,,,,,,,,,,,,
Viêm dạ dày ruột,Mắt trũng,Mất nước,Tiêu chảy,,,,,,,,,,,,,,
Viêm dạ dày ruột,Nôn,Mất nước,Tiêu chảy,,,,,,,,,,,,,,
Viêm dạ dày ruột,Nôn,Mắt trũng,Tiêu chảy,,,,,,,,,,,,,,
Hen phế quản,Mệt mỏi,Ho,Sốt cao,Khó thở,Tiền sử gia đình,Đờm nhầy,,,,,,,,,,,
Hen phế quản,Ho,Sốt cao,Khó thở,Tiền sử gia đình,Đờm nhầy,,,,,,,,,,,,
Hen phế quản,Mệt mỏi,Sốt cao,Khó thở,Tiền sử gia đình,Đờm nhầy,,,,,,,,,,,,
Hen phế quản,Mệt mỏi,Ho,Khó thở,Tiền sử gia đình,Đờm nhầy,,,,,,,,,,,,
Hen phế quản,Mệt mỏi,Ho,Sốt cao,Tiền sử gia đình,Đờm nhầy,,,,,,,,,,,,
Hen phế quản,Mệt mỏi,Ho,Sốt cao,Khó thở,Đờm nhầy,,,,,,,,,,,,
Hen phế quản,Mệt mỏi,Ho,Sốt cao,Khó thở,Tiền sử gia đình,,,,,,,,,,,,
Hen phế quản,Mệt mỏi,Ho,Sốt cao,Khó thở,Tiền sử gia đình,Đờm nhầy,,,,,,,,,,,
Hen phế quản,Ho,Sốt cao,Khó thở,Tiền sử gia đình,Đờm nhầy,,,,,,,,,,,,
Hen phế quản,Mệt mỏi,Sốt cao,Khó thở,Tiền sử gia đình,Đờm nhầy,,,,,,,,,,,,
Tăng huyết áp,Đau đầu,Đau ngực,Chóng mặt,Mất thăng bằng,Mất tập trung,,,,,,,,,,,,
Tăng huyết áp,Đau ngực,Chóng mặt,Mất thăng bằng,Mất tập trung,,,,,,,,,,,,,
Tăng huyết áp,Đau đầu,Chóng mặt,Mất thăng bằng,Mất tập trung,,,,,,,,,,,,,
Tăng huyết áp,Đau đầu,Đau ngực,Mất thăng bằng,Mất tập trung,,,,,,,,,,,,,
Tăng huyết áp,Đau đầu,Đau ngực,Chóng mặt,Mất tập trung,,,,,,,,,,,,,
Tăng huyết áp,Đau đầu,Đau ngực,Chóng mặt,Mất thăng bằng,,,,,,,,,,,,,
Tăng huyết áp,Đau đầu,Đau ngực,Chóng mặt,Mất thăng bằng,Mất tập trung,,,,,,,,,,,,
Tăng huyết áp,Đau ngực,Chóng mặt,Mất thăng bằng,Mất tập trung,,,,,,,,,,,,,
Tăng huyết áp,Đau đầu,Chóng mặt,Mất thăng bằng,Mất tập trung,,,,,,,,,,,,,
Tăng huyết áp,Đau đầu,Đau ngực,Mất thăng bằng,Mất tập trung,,,,,,,,,,,,,
Đau nửa đầu,Trào ngược axit,Khó tiêu,Đau đầu,Mờ mắt và nhìn biến dạng,Đói quá mức,Cứng cổ,Trầm cảm,Dễ cáu gắt,Rối loạn thị giác,,,,,,,,
Đau nửa đầu,Khó tiêu,Đau đầu,Mờ mắt và nhìn biến dạng,Đói quá mức,Cứng cổ,Trầm cảm,Dễ cáu gắt,Rối loạn thị giác,,,,,,,,,
Đau nửa đầu,Trào ngược axit,Đau đầu,Mờ mắt và nhìn biến dạng,Đói quá mức,Cứng cổ,Trầm cảm,Dễ cáu gắt,Rối loạn thị giác,,,,,,,,,
Đau nửa đầu,Trào ngược axit,Khó tiêu,Mờ mắt và nhìn biến dạng,Đói quá mức,Cứng cổ,Trầm cảm,Dễ cáu gắt,Rối loạn thị giác,,,,,,,,,
Đau nửa đầu,Trào ngược axit,Khó tiêu,Đau đầu,Đói quá mức,Cứng cổ,Trầm cảm,Dễ cáu gắt,Rối loạn thị giác,,,,,,,,,
Đau nửa đầu,Trào ngược axit,Khó tiêu,Đau đầu,Mờ mắt và nhìn biến dạng,Cứng cổ,Trầm cảm,Dễ cáu gắt,Rối loạn thị giác,,,,,,,,,
Đau nửa đầu,Trào ngược axit,Khó tiêu,Đau đầu,Mờ mắt và nhìn biến dạng,Đói quá mức,Trầm cảm,Dễ cáu gắt,Rối loạn thị giác,,,,,,,,,
Đau nửa đầu,Trào ngược axit,Khó tiêu,Đau đầu,Mờ mắt và nhìn biến dạng,Đói quá mức,Cứng cổ,Dễ cáu gắt,Rối loạn thị giác,,,,,,,,,
